Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",adventitial cell,alveolar adventitial fibroblast,basal cell,basophil,bronchial smooth muscle cell,capillary endothelial cell,classical monocyte,club cell,endothelial cell of artery,endothelial cell of lymphatic vessel,intermediate monocyte,lung multiciliated epithelial cell,macrophage,mast cell,mature NK T cell,mesothelial cell,monocyte,myeloid dendritic cell,natural killer cell,neutrophil,non-classical monocyte,pericyte,plasma cell,plasmacytoid dendritic cell,pulmonary alveolar type 1 cell,pulmonary alveolar type 2 cell,pulmonary ionocyte,respiratory tract goblet cell,serous cell of epithelium of bronchus,vascular associated smooth muscle cell,vein endothelial cell
myeloid dendritic cell,0.41719764471054077,0.4074888527393341,0.4520852267742157,0.6964671611785889,0.5871475338935852,0.44832977652549744,0.4153817892074585,0.33357396721839905,0.4932161271572113,0.6410907506942749,0.4450508654117584,0.44899222254753113,0.43746086955070496,0.6345251202583313,0.34174469113349915,0.6139447689056396,0.4946708083152771,0.5050708651542664,0.4318973422050476,0.5945433378219604,0.6495621204376221,0.49682173132896423,0.7982558608055115,0.6204476356506348,0.5454798936843872,0.3764214813709259,0.589469313621521,0.48589032888412476,0.42498424649238586,0.440986305475235,0.43751317262649536,0.5921186208724976,0.38027647137641907,0.4773838520050049
natural killer cell,0.4944997727870941,0.5011785626411438,0.584946870803833,0.5755234956741333,0.3989410102367401,0.362947016954422,0.4967997968196869,0.36901649832725525,0.43815961480140686,0.6351264119148254,0.3705337941646576,0.5258417129516602,0.5606729984283447,0.6297124624252319,0.34450045228004456,0.6368523836135864,0.5301110744476318,0.6159374117851257,0.46933576464653015,0.5858795642852783,0.6583216190338135,0.6053651571273804,0.7783544063568115,0.6154261827468872,0.39297619462013245,0.3384611904621124,0.5439441204071045,0.3974169194698334,0.32507458329200745,0.4266606271266937,0.3717232048511505,0.6143282651901245,0.37254300713539124,0.5760962963104248
neutrophil,0.6544530391693115,0.5874378681182861,0.7125481367111206,0.6929180026054382,0.5111943483352661,0.3729783296585083,0.5838056802749634,0.4209010899066925,0.6222045421600342,0.7438764572143555,0.43767064809799194,0.6204588413238525,0.6080554723739624,0.7483596205711365,0.36711010336875916,0.7358088493347168,0.6868979930877686,0.7734296321868896,0.434393048286438,0.7332714796066284,0.9827095866203308,0.7502865791320801,0.8330045342445374,0.7480394840240479,0.49336904287338257,0.5014134049415588,0.7827877998352051,0.4252747893333435,0.4007512032985687,0.3975773751735687,0.43538692593574524,0.6624786853790283,0.4147126078605652,0.6696226596832275
non-classical monocyte,0.4656962752342224,0.3740560710430145,0.4175836443901062,0.6900092959403992,0.5185025930404663,0.3586066663265228,0.3802897036075592,0.25417786836624146,0.4091978073120117,0.474122017621994,0.36700138449668884,0.35385873913764954,0.36577925086021423,0.48410603404045105,0.2320772111415863,0.5199699401855469,0.41149261593818665,0.46985146403312683,0.34426170587539673,0.4560047686100006,0.7689499258995056,0.45593544840812683,0.6417494416236877,0.47055020928382874,0.5442813634872437,0.24950739741325378,0.6961241960525513,0.38180968165397644,0.3484528958797455,0.42165639996528625,0.34348824620246887,0.5365729331970215,0.32488659024238586,0.3955691158771515
pericyte,0.35434406995773315,0.27429118752479553,0.30146074295043945,0.4722524881362915,0.3868008255958557,0.34561723470687866,0.3140932321548462,0.4257124364376068,0.463847815990448,0.413129597902298,0.3406781852245331,0.3910869061946869,0.41968995332717896,0.44815120100975037,0.2604270875453949,0.46144941449165344,0.39365407824516296,0.31188395619392395,0.2921295464038849,0.4381606876850128,0.7565276622772217,0.3013586699962616,0.44171446561813354,0.4404328167438507,0.4797061085700989,0.20780213177204132,0.5090427398681641,0.3879874646663666,0.3126070201396942,0.33215591311454773,0.3129698932170868,0.3629278838634491,0.48791196942329407,0.396519273519516
plasma cell,0.3096829056739807,0.21128764748573303,0.27433761954307556,0.3887670338153839,0.1571362167596817,0.15142011642456055,0.0790819525718689,0.11704814434051514,0.15427352488040924,0.22712279856204987,0.13511286675930023,0.12974347174167633,0.12394437193870544,0.25035038590431213,0.054198116064071655,0.3330651819705963,0.13423743844032288,0.2915283441543579,0.09308907389640808,0.19162923097610474,0.8751488327980042,0.2835633158683777,0.33759233355522156,0.23109355568885803,0.14202068746089935,0.008989112451672554,0.4407821595668793,0.1704200804233551,0.13503992557525635,0.2165687084197998,0.16659873723983765,0.26202523708343506,0.17517812550067902,0.1738460808992386
plasmacytoid dendritic cell,0.7606877088546753,0.4922575354576111,0.5565205216407776,0.6446857452392578,0.4828767478466034,0.5166627168655396,0.4967294931411743,0.49875110387802124,0.6517601013183594,0.6907187104225159,0.5628393888473511,0.6158237457275391,0.6006860733032227,0.7109904289245605,0.5103869438171387,0.7922439575195312,0.694172203540802,0.5741565227508545,0.49525895714759827,0.7008093595504761,1.0051250457763672,0.5661616325378418,0.8262601494789124,0.7174192667007446,0.5615428686141968,0.531721293926239,0.9201105833053589,0.48347654938697815,0.5276769995689392,0.5703606605529785,0.5527586936950684,0.5589618682861328,0.5188655853271484,0.6585105657577515
pulmonary alveolar type 1 cell,0.45808324217796326,0.45190340280532837,0.49185582995414734,0.47617867588996887,0.36176976561546326,0.35944032669067383,0.45778971910476685,0.39526644349098206,0.4452503025531769,0.558731198310852,0.406948059797287,0.4069952070713043,0.3978694677352905,0.567306399345398,0.3167576789855957,0.5749610662460327,0.4811001718044281,0.5091170072555542,0.36281073093414307,0.5281896591186523,0.8388226628303528,0.5015933513641357,0.6497558355331421,0.5556618571281433,0.4410434663295746,0.36810824275016785,0.5719175934791565,0.4287092387676239,0.39910784363746643,0.38218238949775696,0.3863895833492279,0.43603673577308655,0.4513207972049713,0.4132280647754669
pulmonary alveolar type 2 cell,0.33340010046958923,0.32182565331459045,0.35937371850013733,0.39175960421562195,0.25887271761894226,0.25249919295310974,0.3327903151512146,0.24446070194244385,0.3071725070476532,0.3917626738548279,0.28169184923171997,0.2733650505542755,0.25962749123573303,0.4066660702228546,0.1720569133758545,0.4269702434539795,0.33548203110694885,0.3784308135509491,0.24585860967636108,0.367570698261261,0.7309064865112305,0.3647936284542084,0.46798470616340637,0.3978955149650574,0.31841427087783813,0.27104371786117554,0.48804497718811035,0.2963092625141144,0.2818368971347809,0.29411056637763977,0.2762177884578705,0.3707136809825897,0.2923700213432312,0.2921179234981537
pulmonary ionocyte,0.46798214316368103,0.3994612395763397,0.4310082495212555,0.42409420013427734,0.3379940092563629,0.31984832882881165,0.436604768037796,0.32043519616127014,0.3847421109676361,0.4774464964866638,0.37107232213020325,0.36111053824424744,0.367470383644104,0.4872845709323883,0.2878287732601166,0.5188587307929993,0.43665918707847595,0.4457889497280121,0.3600710332393646,0.4526669979095459,0.873949408531189,0.43718066811561584,0.5625705718994141,0.4778108298778534,0.3665193021297455,0.3484964370727539,0.6015386581420898,0.34698596596717834,0.36903873085975647,0.36504843831062317,0.35102900862693787,0.4233580231666565,0.35854241251945496,0.37993016839027405
respiratory tract goblet cell,0.4015267789363861,0.33105140924453735,0.3691294491291046,0.34576305747032166,0.21032929420471191,0.20412039756774902,0.2960776388645172,0.1995927393436432,0.278524249792099,0.4747815430164337,0.2517969012260437,0.24670395255088806,0.22661112248897552,0.4891722500324249,0.14940890669822693,0.5197542905807495,0.3061404824256897,0.37965601682662964,0.20431043207645416,0.45124301314353943,0.8202394247055054,0.3569713532924652,0.6255555152893066,0.4789881408214569,0.2952010929584503,0.25827616453170776,0.5487308502197266,0.24689285457134247,0.2322947382926941,0.22951410710811615,0.24747443199157715,0.36129698157310486,0.2740226686000824,0.27927276492118835
serous cell of epithelium of bronchus,0.3669007122516632,0.281920850276947,0.3255387842655182,0.4035874903202057,0.21086174249649048,0.22364115715026855,0.2683468461036682,0.2079523801803589,0.2635110318660736,0.3853060305118561,0.24356168508529663,0.23444360494613647,0.21603599190711975,0.4089679718017578,0.12524162232875824,0.46349719166755676,0.29015183448791504,0.34459683299064636,0.1988341510295868,0.36763402819633484,0.8368711471557617,0.3216104507446289,0.45816925168037415,0.39371272921562195,0.2580287754535675,0.1974124014377594,0.4859751760959625,0.26058244705200195,0.24028784036636353,0.27824902534484863,0.23957782983779907,0.37096038460731506,0.2569938004016876,0.26228299736976624
vascular associated smooth muscle cell,0.40285906195640564,0.2839844524860382,0.32070884108543396,0.5130774974822998,0.4429907202720642,0.351578027009964,0.3213426470756531,0.4603613615036011,0.5070637464523315,0.519089937210083,0.3340444266796112,0.4241044819355011,0.46516814827919006,0.5412099957466125,0.23880238831043243,0.5656806230545044,0.43115317821502686,0.3346470296382904,0.308921217918396,0.5061596632003784,0.7840487957000732,0.3205150067806244,0.6257591247558594,0.531839907169342,0.5323840379714966,0.2301294505596161,0.5620285272598267,0.40532344579696655,0.325549453496933,0.33561083674430847,0.3167215883731842,0.4138805568218231,0.5176339745521545,0.41891494393348694
vein endothelial cell,0.5316543579101562,0.385945200920105,0.44098415970802307,0.39621701836586,0.30379995703697205,0.2860797345638275,0.378618985414505,0.3023264408111572,0.4004814624786377,0.4760352075099945,0.3267984092235565,0.37808242440223694,0.36662426590919495,0.48657742142677307,0.3036483824253082,0.5241087675094604,0.40032193064689636,0.46693485975265503,0.3245339095592499,0.4519827663898468,0.860636830329895,0.4540795385837555,0.6147356629371643,0.4830302894115448,0.32475391030311584,0.36465534567832947,0.6413686275482178,0.312675803899765,0.3121449053287506,0.32097503542900085,0.3053162097930908,0.4302346110343933,0.3315556049346924,0.39775002002716064
